Start (ns),Stop (ns),Duration (ns),CID
453567351452,453567437488,86036,QmaA2F6mu3AEhFGALoBw51KhpdM75ymxkaxDG1NU3uCsGj
453567719404,453567723368,3964,Qmf7BXoQquQyxmHUo3xpVMYbncN5b4AGkjVs83Ra7fuoLC
453567852535,453567854662,2127,QmdZgzeusHX7ocDTk29FBt4nXFB7nMdcyykhFvU2oP1BNT
453567997049,453567999430,2381,QmfLYvTtyLoWx8jZHXppoR553UxNrUxZxTa8jEqgBvF298
453568155348,453568163613,8265,QmNsmuTA8LK6wCx6rL6xgijx1qubsctDMeo93TfGmiTg3i
453568420786,453568424409,3623,QmeVAzJawPqMR8optVQF15JDp9U3RtmHC5EhRhef7RXfmq
453568560669,453568564092,3423,QmTUBQPBktKzMRiB13fKmMR14WE7bkC9TidqrWXGEj9bas
453568682234,453568684278,2044,QmZUaZ4My2qK6ncXSYwrLeAqFEutgjf1MXgnWFAhBp3f3Z
453568791090,453568792832,1742,Qme9DP6eXfGQuUtNZm4adeHaZMyxzAhxieK7oB94Tpbp3L
453569024240,453569027306,3066,QmezzqqxRPK3j54ZH8MhhMNu1fQG8ihJRoRTaeYKsFKD28
453569167906,453569170168,2262,QmT6AkcnDwwEpKZHhn43NDbRkELT6iKe3XvVnkt1Xwz9JB
453569426539,453569428975,2436,QmQ8eYC7QQS2ThacbVzoosnUoso3nZep8dorEN4yrq2GXX
453569543154,453569544899,1745,Qma7nBhqeWGc8g6UNwNFbpjFb8ny2Kdw9cAoaUuwtzkRYW
453569636793,453569638303,1510,QmSAj35JZm45KdPTLdBCetY7pSZWCxvtq89bZPmKqNynPQ
453569743382,453569745455,2073,Qma4TN4oKyLrssV2dA54ojXeMKX683Jc1spbogsibyta79
453569836221,453569837700,1479,QmYnXmjHaKVW9BuGcyjahFgfVDFJAxpTTo7Kut2Rjupqxs
453569919903,453569921308,1405,Qmc4qzGaFr9PVb7EBFnT6PvWuPKNFEskg1Eavsqr29UzUJ
453570133263,453570135865,2602,QmZ2r8onihAdrTm8oykV2MdHWfmbumQ92tqjVT95wbaD7h
453570242711,453570244237,1526,QmQYCJfPY5sEdS4jtoNaDeF8CmdHCnZdaBSkLTveuJ8S4Z
453570337952,453570339536,1584,QmZZJ6mMhZFykfLnJ36w52VxnHKCAyLU3EfuNfDw4gDax4
