Start (ns),Stop (ns),Duration (ns)
1403560604493,1403593116049,32511556
1403595081421,1403621936587,26855166
1403623727571,1403650373165,26645594
1403652128968,1403676774055,24645087
1403678421650,1403705395407,26973757
1403707325891,1403731620137,24294246
1403733277798,1403758042573,24764775
1403759907980,1403786675173,26767193
1403788402875,1403813737614,25334739
1403815510757,1403842175234,26664477
1403844220085,1403868941199,24721114
1403869989576,1403892911172,22921596
1403895054121,1403918632030,23577909
1403919565614,1403944279845,24714231
1403945241259,1403969127397,23886138
1403970194479,1403994598649,24404170
1403995696106,1404018227532,22531426
1404019197204,1404044280487,25083283
1404045229947,1404069697149,24467202
1404070668797,1404099689364,29020567
1404101228329,1404124934080,23705751
1404125898576,1404147660808,21762232
1404149475136,1404173020802,23545666
1404174857939,1404198101938,23243999
1404199854744,1404223970451,24115707
1404225649678,1404249821495,24171817
1404250958735,1404272490969,21532234
1404273430738,1404293864220,20433482
1404294790442,1404315738737,20948295
1404316634733,1404337308678,20673945
1404338252648,1404357569989,19317341
1404358598973,1404380245864,21646891
1404381860332,1404402576530,20716198
1404404131394,1404423830738,19699344
1404424707479,1404446894529,22187050
1404447807844,1404465988138,18180294
1404466982886,1404485807442,18824556
1404486723194,1404506420901,19697707
1404507325250,1404527572947,20247697
1404529107395,1404549474721,20367326
1404551114227,1404571995239,20881012
1404573655672,1404592917126,19261454
1404593792069,1404614817189,21025120
1404615708348,1404634831744,19123396
1404635798019,1404655864095,20066076
1404656739352,1404676319816,19580464
1404677246244,1404697088123,19841879
1404698791748,1404719866236,21074488
1404721495197,1404748262818,26767621
1404749129023,1404770561336,21432313
1404771446608,1404788866665,17420057
1404789762810,1404808576111,18813301
1404809454660,1404829895519,20440859
1404830810845,1404851038460,20227615
1404851934475,1404871802564,19868089
1404872657850,1404893753023,21095173
1404894664185,1404913994037,19329852
1404914964353,1404940155981,25191628
1404941012817,1404958374193,17361376
1404959265063,1404980356953,21091890
1404981243471,1405000340948,19097477
1405001205626,1405020088400,18882774
1405020998778,1405040431571,19432793
1405041308244,1405060225070,18916826
1405061095593,1405082985445,21889852
1405083849463,1405102826807,18977344
1405103752895,1405123934634,20181739
1405124849716,1405148574791,23725075
1405149432474,1405168273284,18840810
1405169168853,1405187821014,18652161
1405188714576,1405207470227,18755651
1405208328957,1405226975459,18646502
1405227874283,1405250359320,22485037
1405251274141,1405271866905,20592764
1405272755299,1405292735681,19980382
1405293600744,1405312638305,19037561
1405313606603,1405334032289,20425686
1405334967762,1405356570556,21602794
1405357443469,1405376434051,18990582
1405377286760,1405397188310,19901550
1405398044865,1405416892775,18847910
1405417776021,1405436739822,18963801
1405437664342,1405457267559,19603217
1405458319293,1405478783603,20464310
1405479841522,1405499184327,19342805
1405500198191,1405519534502,19336311
1405520694630,1405541849425,21154795
1405543000135,1405566326190,23326055
1405567395230,1405588010216,20614986
1405589140352,1405610447546,21307194
1405611558468,1405632455261,20896793
1405633803204,1405657055976,23252772
1405658190237,1405679327207,21136970
1405680291452,1405702472073,22180621
1405703568057,1405723967927,20399870
1405725235884,1405745372614,20136730
1405746455034,1405765382664,18927630
1405767064589,1405793369731,26305142
1405794179819,1405813317701,19137882
1405814212852,1405833183325,18970473
